FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Educação Ambiental,Transversal: Capacitação de Gestores em Saneamento Ambiental - Nível 2,2009,Português,RECESA - Universidade de Caxias do Sul,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'Sayão, S. C.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Rede de Catadores e Centrais de Triagem do Município de Caxias do Sul,Galpões de Reciclagem e a Universidade,2008,Português,Editora e Gráfica universitária - PREC-UFPel,"['ZATTERA, Ademir José', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'PESSIN, Neide', 'MORI, Paulo Rogério de', 'MANDELLI, S. M. C.', 'CARLI, Larissa Nardini', 'SCOPEL, L.B.', 'GUARESI, S.', 'POLETTO, Matheus', 'Gelatti, F.', 'QUISSINI, Carina Soldera']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Gestão de resíduos na Universidade de Caxias do Sul: um processo de construção das atividades de ensino, pesquisa e de extensão com responsabilidade socioambiental",Gestão de Resíduos em Universidades,2010,Português,Editora da Universidade de Caxias do Sul,"['CONTO, Suzana Maria de', 'BRUSTOLIN, I.', 'PESSIN, Neide', 'SCHNEIDER, V. E.', 'BEAL, Lademir Luiz']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Avaliação preliminar de impactos ambientais através da determinação de metais em sedimentos de bacias urbanizadas,Engenharia de Sedimentos - na busca de soluções para problemas de erosão e assoreamento,2011,Português,Associação Brasileira de Recursos Hídricos,"['Antunes, M.', 'ANTUNES, M. T.', 'ADAMATTI, D.', 'GELAIN, R.', 'SCHNEIDER, V. E.', 'GIOVANELA, M.', 'FERNANDES, A. N.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Determinação da perda de solos por erosão laminar na bacia hidrográfica do Rio São Marcos, RS",Simpósio Brasileiro de Sensoriamento Remoto,2011,Português,Instituto Nacional de pesquisas Espaciais,"['Bortolin, T. A.', 'CEMIN, Gisele', 'SCHNEIDER, V. E.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Saneamento no meio rural ? avaliação das atividades suinícolas e seus impactos ambientais na região do Corede-Serra/RS,PAPEL DOS PARQUES TECNOLÓGICOS NO DESENVOLVIMENTO REGIONAL,2013,Português,EDUCS,"['CARRA, S. H.', 'MANFREDINI, K. L.', 'DONAZZOLO, I.', 'BIGOLIN, M', 'MENDES, L. A.', 'SCHNEIDER, V. E.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos sólidos: problemática e definições,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Bretão,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'PIRES, J. K.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Bretão,EDUCS - Editora da Universidade de Caxias do Sul,"['Schneider, Vania Elisabete', 'EMMERICH, Rita de Cássia']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Classificação e segregação de resíduos de serviços de saúde como determinantes da eficácia do gerenciamento,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Schneider, Vania Elisabete']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Potencial de risco dos resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Schneider, Vania Elisabete', 'STEDILE, N. L. R.', 'FILHO, A. G. B.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Gerenciamento de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Schneider, Vania Elisabete', 'EMMERICH, Rita de Cássia', 'CALDART, Viviane', 'ORLANDIN, Sandra Maria']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Caracterização de resíduos de serviços de saúde: metodologia para o diagnóstico e a definição de índices, taxas e indicadores de geração",Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'PERESIN, Denise', 'STEDILE, N. L. R.', 'PAIZ, J. C.', 'BIGOLIN, M']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,O plano de gerenciamento de resíduos de serviços de saúde como ferramenta de planejamento e gestão,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'FINKLER, Raquel']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Educação permanente: estratégia de desenvolvimento de competências para o manejo de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['STEDILE, N. L. R.', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Biossegurança no manejo de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['STEFFENS, Ana Paula', 'Vania Elisabete Schneider', 'STEDILE, N. L. R.', 'MALDOTTI, A. C. S.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos químicos oriundos dos serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'MANFREDINI, K. L.', 'BRUSTOLIN, I.', 'Tonet, E. M.', 'Nascimento, I. F.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Reciclagem de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['POLETTO, Matheus', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Sistemas de tratamento de resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'PIEROZAN, E.', 'Panizzon, T.', 'CASAGRANDE, V.', 'EMMERICH, Rita de Cássia']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Disposição final dos resíduos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Vania Elisabete Schneider', 'Panizzon, T.', 'TRENTIM, A. C.', 'REICHERT, Geraldo Antônio', 'TEIXEIRA, C. E.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,A ecoeficiência como ferramenta de gestão em estabelecimentos de assistência à saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Tonet, E. M.', 'Vania Elisabete Schneider', 'PENTTINEN, Ilpo']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Legislação relacionada à gestão dos resíduos de serviços de saúde: histórico, direitos, deveres e competências",Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['FILHO, A. G. B.', 'Vania Elisabete Schneider', 'STEDILE, N. L. R.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Licenciamento de estabelecimentos de serviços de saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de caxias do Sul,"['Vania Elisabete Schneider', 'Tonet, E. M.', 'Carra. S. H. Z.', 'DILDA. C.', 'CAGLIARI, Joice']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Águas residuárias e efluentes líquidos de atividades de assistência à saúde,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['Della Giustina, S. V.', ""SILVA, Mauricio D'agostini"", 'Bortolin, T. A.', 'Nascimento, I. F.', 'Vania Elisabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Aspectos e impactos das atividades de assistência à saúde sobre o ambiente,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['PERESIN, Denise', 'Vania Elisabete Schneider', 'FINOTTI, A. R.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Gerenciamento de resíduos de serviços de saúde em diferentes fontes geradoras: uma questão de saúde individual e coletiva,Resíduos de Serviços de Saúde: um olhar interdisciplinar sobre o fenômeno,2015,Português,EDUCS - Editora da Universidade de Caxias do Sul,"['STEDILE, N. L. R.', 'Vania Elisabete Schneider', 'CONTO, Suzana Maria de', 'HENKES, A. J.', 'MALDOTTI, A. C. S.', 'PAIZ, J. C.', 'KAPPES, A. C.']"
