FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,3061704612929866,Cristian Tristão,"Monitoria e Tutoria: linhas de força, intensidades e experiências no contexto da PUCRS VIRTUAL.",Educação a Distância: Cartografias Pulsantes em Movimento,2003,Português,,"['LAGE, Louise Costa', 'FRANCIOSI, Beatriz Regina Tavares', 'VARGAS, Rubem Mário Figueiró', 'MEDEIROS, Marilú Fontoura de', 'SEM_DADOS']"
LATTES,CAP.LIVRO,5581053144239848,William Bortoluzzi Pereira,An Approach for Detecting Social Interactions on Mobile Devices,Advances in Wireless Technologies and Telecommunication,2018,Inglês,IGI Global,"['Vasconcellos e Souza, Isadora', 'PEREIRA, WILLIAM BORTOLUZZI', 'Lima, João Carlos D']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Content-Based Image Retrieval.,"Digital Libraries Applications: CBIR, Education, Social Networks, eScience/Simulation, and GIS. Synthesis Lectures on Information Concepts, Retrieval, and Services.",2014,Inglês,Morgan &amp; Claypool Publishers,"['Torres, R. da S.', 'Kozievitch, N. P.', 'MURTHY, U.', 'FALCAO, A. X.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Subdocuments,"Digital Library Technologies: Complex Objects, Annotation, Ontologies, Classification, Extraction, and Security.",2014,Inglês,Morgan &amp; Claypool Publishers,"['MURTHY, U.', 'Delcambre, L.', 'Torres, R. da S.', 'Kozievitch, N. P.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Complex Objects,Complex Objects,2014,Inglês,Morgan &amp; Claypool Publishers,"['Kozievitch, N. P.', 'Torres, R. da S.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,A Smarter Sidewalk-Based Route Planner for Wheelchair Users: An Approach with Open Data,Communications in Computer and Information Science,2017,Português,Springer International Publishing,"['KOZIEVITCH, NÁDIA P.', 'ALMEIDA, LEONELO D. A.', 'da Silva, Ricardo Dutra', 'MINETTO, RODRIGO']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,A Survey on Agile Practices and Challenges of a Global Software Development Team,Communications in Computer and Information Science,2019,Português,Springer International Publishing,"['Lautert, Tatiane', 'Neto, Adolfo Gustavo Serra Seca', 'KOZIEVITCH, NÁDIA P.']"
LATTES,CAP.LIVRO,1894333931411941,Alexandre Tagliari Lazzaretti,Criação de uma Biblioteca Digital Multimídia Odontológica,Criação de uma Biblioteca Digital Multimídia Odontológica,2007,Português,UPF Editora,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI', 'CERVI, C. R.', 'DORNELES, C. F.', 'PAVAN, W.', 'LINDEN, M. S.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Relações Públicas x função política e a administração de conflitos/controvérsias,"Comunicação, marketing e cultura: sentidos da administração, do trabalho e do consumo",1999,Português,ECA/USP:CLC,"['SCROFERNEKER, Cleusa Maria Andrade', 'MOURA, C. P.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicando Juntos.,Jornalismo e Relações Públicas: Ação e Reação,2004,Português,MAUAD,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,O que é afinal Comunicação Interna?,Relações Públicas: quem sabe faz e explica,2007,Português,EDIPUCRS,"['MOURA, C. P.', 'SCROFERNEKER, Cleusa Maria Andrade', 'SIMÕES, R. P.', 'DORNELLES, Souvenir', 'JACOBUS, Léa Denise Senger', 'MACHADO, Elaine', 'STEFFEN, Ana Roig']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,(Re)Visitando a História das Relações Públicas,História das Relações Públicas: fragmentos da memória de uma área,2008,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Novas perspectivas para as relações públicas no espaço virtual.,Perspectivas em Relações Públicas,2008,Português,Editora EDUNISC,"['SCROFERNEKER, Cleusa Maria Andrade', 'MOURA, Claudia Peixoto de']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação Organizacional: certezas e incertezas,O Diálogo Possível: Comunicação organizacional e Paradigma da Complexidade,2008,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade', 'BALDISSERA, R.', 'SOSTER, Ana Regina de Moraes', 'WELS, A.', 'RECH, J.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação das organizações nos estudos do programa de Pós-Graduação em Comunicação,Relações Públicas e Comunicação Organizacional: campos acadêmicos e aplicados de múltiplas perspectivas,2009,Português,Difusão Editora,"['MOURA, Claudia Peixoto de', 'SCROFERNEKER, Cleusa Maria Andrade', 'SIMÕES, R. P.']"
