116	\N	\N	\N	\N	\N	\N	2018 IEEE 17th International Symposium on Network Computing and Applications (NCA)	2	2018
117	\N	\N	\N	\N	\N	\N	2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA)	2	2018
118	\N	\N	\N	\N	\N	\N	2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA)	2	2018
119	\N	\N	\N	\N	\N	\N	2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA)	2	2018
120	\N	\N	\N	\N	\N	\N	2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA)	2	2018
121	\N	\N	\N	\N	\N	\N	2018 IEEE Congress on Evolutionary Computation (CEC)	2	2018
122	\N	\N	\N	\N	\N	\N	2018 IEEE Global Communications Conference (GLOBECOM)	2	2018
123	\N	\N	\N	\N	\N	\N	2018 IEEE International Conference on Communications (ICC)	2	2018
124	\N	\N	\N	\N	\N	\N	2018 IEEE International Conference on Communications (ICC)	2	2018
125	\N	\N	\N	\N	\N	\N	2018 IEEE International Conference on Information Reuse and Integration (IRI)	2	2018
126	\N	\N	\N	\N	\N	\N	2018 IEEE International Conference on Intelligence and Security Informatics (ISI)	2	2018
127	\N	\N	\N	\N	\N	\N	2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)	2	2018
128	\N	\N	\N	\N	\N	\N	2018 IEEE International Smart Cities Conference (ISC2)	2	2018
129	\N	\N	\N	\N	\N	\N	2018 IEEE International Smart Cities Conference (ISC2)	2	2018
130	\N	\N	\N	\N	\N	\N	2018 IEEE Symposium on Computers and Communications (ISCC)	2	2018
131	\N	\N	\N	\N	\N	\N	2018 IEEE Symposium on Computers and Communications (ISCC)	2	2018
132	\N	\N	\N	\N	\N	\N	2018 IEEE Symposium on Computers and Communications (ISCC)	2	2018
133	\N	\N	\N	\N	\N	\N	2018 IEEE Symposium on Computers and Communications (ISCC)	2	2018
134	\N	\N	\N	\N	\N	\N	2018 IEEE Symposium on Computers and Communications (ISCC)	2	2018
135	\N	\N	\N	\N	\N	\N	2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)	2	2018
136	\N	\N	\N	\N	\N	\N	2018 IEEE/ACM Workflows in Support of Large-Scale Science (WORKS)	2	2018
137	\N	\N	\N	\N	\N	\N	2018 International Joint Conference on Neural Networks (IJCNN)	2	2018
138	\N	\N	\N	\N	\N	\N	2018 Symposium on High Performance Computing Systems (WSCAD)	2	2018
