89	35	321	2016	2017	RT Estudos hidrológicos - Seara
90	35	321	2016	2018	RT PGRS - Carvi
91	35	321	2016	2018	RT Plano Gerenc. Resíduos Sólidos / UCS
92	35	321	2016	2018	RT Licenciamento Ambiental UCS
93	35	321	2015	2018	RT PGRSS UCS
94	35	321	2015	2018	RT Licenciamento Camva
95	35	321	2016	2018	RT Licenciamento Carvi
96	35	321	2016	2017	RT Estudos resíduos Antônio Prado
97	35	321	2016	2018	RT Licenciamento HG
98	35	321	2015	2018	RT PGRSS HG
99	35	321	2016	2018	Responsável Técnico-Qualidade Rio São Marcos
100	35	321	2016	\N	Doutor Titular II
101	35	321	2011	2015	Núcleo Docente Estruturante-Engenharia Ambien
102	35	321	2000	2002	Membro do Colegiado-Curso Biologia - CARVI
103	35	321	2011	2012	Núcleo Docente Estruturante-Ciências/Biologia
104	35	321	2012	2016	Núcleo Docente Estruturante-Biológia Licenc.
105	35	321	2013	2016	Núcleo Docente Estruturante-Biologia Bacharel
106	35	321	2017	2018	Responsável Técnico - Plano de Bacia/Vacaria
107	35	321	2017	2018	Responsável Técnico-Poços São Marcos
108	35	321	2017	2018	Responsável Técnico - Laudos Juventude
342	74	40	2009	2010	\N
109	35	321	2017	2018	Responsável Técnico - CR Reversos/Farroupilha
110	35	321	2017	2018	Responsável Técnico-PS Antônio Prado
111	35	321	2020	\N	Membro do Conselho Editorial da EDUCS
112	36	130	2008	2008	Professor do Curso de Ciência da Computação
113	36	307	2015	2015	\N
114	37	118	2005	2008	Pesquisador
115	37	300	2016	2017	Aluno
116	39	19	2005	2009	Professor
117	39	19	1999	1999	Bolsista IC
118	39	85	2007	2007	Estagiário
119	40	40	2007	2007	Voluntário
120	40	40	2008	2008	Bolsista
121	40	40	2009	2009	Pesquisador
122	40	428	2006	2010	Pesquisador do PCS/LAA
123	42	190	2017	\N	Analista de suporte
124	42	190	2018	2018	Tutor a distância
125	42	190	2019	2019	Tutor a distância
126	42	190	2019	\N	Coordenadora de Informática
127	42	28	2008	2010	Professor Adjunto
128	42	64	2007	2010	Professor Colaborador
129	42	64	2014	2014	Professor Colaborador
130	42	64	2014	\N	Professor Adjunto
131	42	54	2009	2010	Professor substituto
132	42	202	2005	2011	Acadêmico
133	42	202	2008	2009	Webmaster
134	42	428	2008	2010	Professor Adjunto I
135	42	422	2004	\N	\N
136	43	63	2000	\N	Bolsista
137	43	126	2002	2003	Voluntário
138	43	126	2006	2007	Administrador de Banco de Dados
139	43	186	2001	2005	Analista de Suporte
140	43	373	2015	2017	Estudante de Pós-Graduação
141	43	373	2017	2017	Professor Colaborador
142	43	373	2017	2018	\N
143	44	36	2003	2006	Outro (Bolsista de Iniciação Científica)
144	44	36	2006	2007	Bolsista de Iniciação Científica
145	44	89	1995	\N	Professor Adjunto
146	44	21	2006	2008	Mestrando
147	44	232	2015	2018	Professor Auxiliar
148	45	377	2007	2007	Pesquisador/Desenvolvedor Web
149	45	58	2000	2000	Iniciação Científica
150	45	83	2001	2001	Instrutor no Plano de Estágio Docente (PED)
151	45	83	2004	2005	Consultor de nível superior
152	45	258	2011	2011	Docente
153	46	301	2014	2015	Inciação Científica
154	47	163	2004	2006	professor colaborador
155	47	163	2006	\N	Professor não-titular
156	48	400	2012	2014	Estagiário
157	48	400	2014	2015	Aluno
158	49	163	2010	2012	Estagiário de Iniciação Científica
159	51	155	2009	2010	Iniciação Científica
160	51	40	2010	\N	Associado I
161	52	244	2010	2011	Bolsista
162	52	244	2011	2012	Estagiário
163	52	244	2013	2013	Monitor
164	52	309	2015	\N	\N
165	52	268	2015	2017	Professor Substituto
166	52	118	2019	\N	\N
167	53	43	1997	1998	Bolsista de IC
168	53	43	1997	1997	Estagiário
169	53	43	2009	2011	Professor Adjunto I
170	53	43	2011	2013	Professor Adjunto II
171	53	43	2013	2015	Professor Adjunto III
172	53	43	2015	2017	Professor Adjunto IV
173	53	43	2017	\N	Professor Associado I
174	55	91	2002	2005	Estagiária
175	55	91	2005	2005	\N
176	55	91	2005	2006	Corpo Tecnico
177	55	33	2001	2001	Bolsista de Apoio Institucional
178	56	384	2014	2018	Estudante de Doutorado
179	56	43	2008	2009	Bolsista (FACEPE)
180	58	107	2003	2015	Pesquisador
181	58	107	2015	\N	Professor Adjunto
182	58	244	2014	2016	Bolsita de Mestrado
183	58	244	2016	2018	Bolsista Projeto Bridge
184	58	244	2017	2020	Bolsista Doutorado
185	58	49	2011	\N	Analista de TI
186	58	213	2005	2007	Estagiário
187	58	213	2007	2008	Estagiário
188	58	168	2008	2008	Bolsista
189	58	115	2015	\N	Analista de Tecnologia da Informação
190	58	50	2019	\N	\N
191	58	50	2010	2019	Professor Associado
192	58	50	2002	2010	Professor Adjunto
193	58	50	1995	2002	Professor Assistente
194	58	104	2004	2004	Monitor
195	58	104	2005	2006	Bolsista de desenvolvimento
196	58	186	2011	2011	Estágio de Docência
197	58	92	1998	1999	Administrador de Banco de Dados
198	58	83	2006	\N	Professor adjunto
