id,titulo,tipo_id,edicao_id,fonte
282,DPC++: An Object Distributed Language,,1737,LATTES
1131,A comunicação e as organizações como sistemas complexos: uma análise a partir das perspectivas de Niklas Luhmann e Edgar Morin,,1738,LATTES
733,As organizações na Internet: um estudo camparativo,,1739,LATTES
2044,Utilizando uma Rede de Referência Virtual para Definição de Parâmetros que Garantam o Desempenho de Serviços e Aplicações,,1740,LATTES
3600,Aplicativo de Mobilidade Urbana Focado na Cidade de Curitiba,,1741,LATTES
2279,Educação em Engenharia e Mineração de Dados Educacionais: oportunidades para o tratamento da evasão,,1742,LATTES
2516,Implementação de Uma Ferramenta de Integração de Dados Aplicado a Dados Meteorológicos,,1743,LATTES
1672,Advances in the Modeling and Control of Micro Hydro Power Stations with Induction Generators,,1744,LATTES
3056,Proposta de Framework para Uso Coexistente de Práticas Ágeis das Metodologias Scrum e TDD,,1745,LATTES
402,O Ambiente como Elemento de Comunicação,,1746,LATTES
2087,Provenance traces from Chiron parallel workflow engine,,1747,LATTES
396,The Design of Decision Support Systems for Effective Use of Spatio-Temporal Data,,1748,LATTES
3382,O uso de simuladores no auxÃ­lio do ensino-aprendizagem na Enfermagem,,1749,LATTES
614,"Monitoria e Tutoria: linhas de força, intensidades e experiências no contexto da PUCRS VIRTUAL.",,1750,LATTES
451,Os(Des) Caminhos da Comunicação na Implantação do Programa de Qualidade na Universidade,,1751,LATTES
3896,Proposta de Aplicac&amp;#807;a&amp;#771;o de Te&amp;#769;cnicas de Big Data como Suporte para Ana&amp;#769;lise de Redes Sociais,,1752,LATTES
1408,Supporting Collaborative Learning Activities with a Digital Library and Annotations,,1753,LATTES
3853,EduTrail: Um modelo para acompanhamento ubíquo de grupos de aprendizes usando histórico dos contextos,,1754,LATTES
994,A comparative study between precision agriculture and biodiversity modeling systems,,1755,LATTES
3128,Power rating reduction of distribution static synchronous compensator for voltage and frequency regulation of stand-alone self-excited induction generator,,1756,LATTES
1306,Aspects for Graph Grammars,,1757,LATTES
1626,Towards Test Coverage Criteria for Visual Contracts,,1758,LATTES
2042,A Structured Stochastic Model for Prediction of Geological Stratal Stacking Patterns,,1759,LATTES
1448,Modeling and Reasoning over Distributed Systems using Aspect-Oriented Graph Grammars,,1760,LATTES
1819,Controle de frequência e tensão de micro centrais hidrelétricas que utilizam geradores de indução auto-excitados com emprego da modelagem não-linear de turbinas hidraúlicas,,1761,LATTES
1820,Controle de Frequência e Tensão de Micro Centrais Hidrelétricas que Utilizam Gerdores de Indução Auto-excitados com Emprego da Modelagem Não Linear de Turbinas Hidráulicas,,1762,LATTES
969,Filtro Ativo de Potência para Compensação de Harmônicos de Tensão em Sistemas de Distribuição Trifásicos a Quatro Fios,,1763,LATTES
814,New Synchronization Method for Three-Phase Three-Wire PWM Converters under Unbalanced and Distorted Grid Voltages,,1764,LATTES
2569,Topologia Híbrida Trifásica a Três Fios para Regulação de Tensão em Sistemas de Geração Baseados em Gerador de Indução Autoexcitado,,1765,LATTES
3936,"Taxonomias, ontologias e tesauros: possibilidades de contribuição para o processo de Engenharia de Requisitos",,1766,LATTES
3147,Uma proposta de taxonomia para a categorização das falhas no ambiente das cadeias de suprimentos,,1767,LATTES
558,Gerenciamento de Dados XML,,1768,LATTES
1878,Um Protótipo de um Sistema Computacional Web Aplicado a Área Médica (Aceito para publicação),,1769,LATTES
3411,Uma proposta de arquitetura de microsserviços aplicada em um sistema de CRM social,,1770,LATTES
999,Análise de Processos do PMBOK em uma Fábrica de Software - Um Estudo de Caso,,1771,LATTES
586,Gerenciamento ambiental na indústria moveleira - estudo de caso no Município de Bento Gonçalves,,1772,LATTES
2220,Computação em Nuvem: Um estudo exploratório realizado no Polo de confecções do agreste Pernambucano,,1773,LATTES
1154,Melhoria da Qualidade de Energia Elétrica Gerada por Micro e Pequenas Centrais Hidrelétricas com a Utilização de Filtros Ativos de Potência,,1774,LATTES
3891,REVISÃO SISTEMÁTICA SOBRE NOVAS TECNOLOGIAS APLICADAS AO ENSINO NA ÁREA DA SAÚDE,,1775,LATTES
1805,Avaliação preliminar de impactos ambientais através da determinação de metais em sedimentos de bacias urbanizadas,,1776,LATTES
2303,Métricas de Software: Problema ou Solução?,,1777,LATTES
2532,Desenvolvimento de um sistema de gestão para apoio à tomada de decisão no agronegócio da região do Alto Paranaíba,,1778,LATTES
3133,Avaliação da geração de resíduos de equipamentos eletroeletrônicos (REEEs) em uma universidade particular,,1779,LATTES
1150,Optimal Mathematical Model of Hall-effect Sensor,,1780,LATTES
3365,O aquarismo na escola: conhecer para preservar os ecossistemas aquáticos,,1781,LATTES
3107,Oh Gosh!! Why is this game so Hard? Identifying Cycle Patterns in 2D Platform Games Using Provenance Data,,1782,LATTES
2073,An Artificial Emotional Agent-based Architecture for Games Simulation,,1783,LATTES
2297,"Morphometric evaluation of watersheds in Caxias do Sul City, Brazil, using SRTM (DEM) data and GIS",,1784,LATTES
2872,"Monitoring and assessment of surface water quality in Taquari-Antas Watershed, South Brazil: region with intensive pig farming",,1785,LATTES
2241,Baquara: A Holistic Ontological Framework for Movement Analysis Using Linked Data,,1786,LATTES
1091,Paralelização de Métodos Computacionais Aplicados a Análise do Teor de Umidade do Solo,,1787,LATTES
2520,Análise de Inconsistências Espaçotemporais entre Trajetórias e Tarefas Planejadas ou Relatadas,,1788,LATTES
2518,Anotação de Trajetórias via Fusão com Trilhas de Mídias Sociais,,1789,LATTES
2525,Conectando Dados de Movimento Textualmente Anotados a Dados Ligados,,1790,LATTES
2519,LinkMapia: Uma Abordagem para Converter Dados Geográficos Livremente Anotados em Dados Ligados,,1791,LATTES
1074,Mineração de uso em sistema de informação,,1792,LATTES
2720,Sistemas de Recomendação e Computação Ubíqua : Um Survey,,1793,LATTES
2070,Uma ferramenta para classificação de texto baseada no algoritmo Naïve Bayes,,1794,LATTES
788,Obtenção de Metadados de Objetos de Aprendizagem no AdaptWeb,,1795,LATTES
780,Uma Abordagem para Viabilizar o Processo de DataWarehouse de Dados Biológicos,,1796,LATTES
850,BDTerm: um Sistema de Gerenciamento de Bases de Dados Terminológicas,,1797,LATTES
849,Definição e Implementação de Regras de Conversão de um Esquema XML Schema para um Esquema Conceitual,,1798,LATTES
848,Determinando Equivalências Semânticas entre Componentes de Esquemas GML,,1799,LATTES
835,Protótipo de Interpretador para cTVQL,,1800,LATTES
851,Restrições de Integridade de Domínio em Documentos XML,,1801,LATTES
847,Similaridade entre Documentos Semi-Estruturados,,1802,LATTES
852,Uma Análise de Abordagens de Mapeamento entre o Modelo de Dados de Banco de Dados Orientado a Objetos e o Modelo de Dados XML,,1803,LATTES
1017,Análise de Abordagens para Modelagem Conceitual e Lógica de Bancos de Dados XML,,1804,LATTES
