ID,,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
129,133,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense",2009,2010,Coordenador Curso Superior de Tecnologia
129,133,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense",2013,2015,Coordenador do Curso TSPI
43,136,Instituto Federal de Pernambuco,2004,2006,Professor Substituto
107,19,Instituto Federal de Santa Catarina,2015,2015,Professor
190,19,Instituto Federal de Santa Catarina,2015,2015,Professor substituto
243,19,Instituto Federal de Santa Catarina,2013,2014,Técnico em análise de T.I
428,135,Instituto Federal de São Paulo,2010,,"Professor Ensino Básico, Tec e Tecnológico"
93,,Instituto Federal do Paraná,2015,,TÉCNICO DE TECNOLOGIA DA INFORMAÇÃO
181,20,Instituto Federal Farroupilha,2014,,ANALISTA DE TECNOLOGIA DA INFORMAÇÃO
181,20,Instituto Federal Farroupilha,2016,2016,PROFESSOR DE CURSO TÉCNICO - PRONATEC
291,20,Instituto Federal Farroupilha,2016,2017,Docente Substituto
225,20,Instituto Federal Farroupilha,2017,2017,Professor substituto
231,20,Instituto Federal Farroupilha,2015,,"Professor Ens. Básico, Técnico e Tecnológico"
266,20,Instituto Federal Farroupilha,2010,2010,Aluno
300,20,Instituto Federal Farroupilha,2015,,Técnico Adminstrativo em Edutação
319,20,Instituto Federal Farroupilha Campus Alegrete,2015,2016,Estágiario
319,20,Instituto Federal Farroupilha Campus Alegrete,2016,,Estágiario
369,133,Instituto Federal Sul-Rio-Grandense,2015,2015,Professor Substituto
158,22,Instituto Municipal de Ensino Superior de Assis,2010,2018,Coordenador de Curso
158,22,Instituto Municipal de Ensino Superior de Assis,1996,,Professor de Ensino Superior
158,22,Instituto Municipal de Ensino Superior de Assis,2004,2009,Coordenador Centro Pesquisas em Informática
158,22,Instituto Municipal de Ensino Superior de Assis,2018,,Vice-Diretor Acadêmico
107,137,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2011,2011,Membro de Comissão
89,137,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira INEP,2014,2016,
89,137,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira INEP,2016,2018,
181,,Instituto Nacional de Pesquisas Espaciais,2010,2011,Aluno de Iniciação Científica
181,,Instituto Nacional de Pesquisas Espaciais,2011,2011,Aluno de Iniciação Científica
130,,Instituto Nacional de Pesquisas Espaciais,2008,2008,Bolsista CNPQ
21,,Instituto Nacional do Seguro Social No Rio Grande do Sul,2003,2004,Estagiário
321,,Instituto Porto Alegre Ambiental,2012,2012,Responsável Técnico - Biólogo
422,,Instituto Superior de Tecnologia,2004,2004,professor colaborador
258,,Instituto Tecnológico Simepar,2000,2004,Empregado
225,,INTELIGENCIA ARTIFICIAL,2018,,
76,,Interface Informática,1993,1997,Programador
321,,International Conference on Advances in Civil and Ecological Engenieering R,2020,,
107,,International Journal of Big Data Intelligence,2017,,
107,,International Journal of Computational Science and Engineering,2016,,
225,,International Journal of Computers and Applications,2019,,
417,,International Journal of Computing Sciences Research (IJCSR),2017,,
107,,International Journal of Grid and Utility Computing,2015,,
107,,International Journal of Grid and Utility Computing (IJGUC),2017,,
107,,International Journal of High Performance Computing and Networking (Print),2014,,
107,,International Journal of High Performance Systems Architecture (Print),2014,,
89,,International Journal of Information Technology and Web Engineering -IJITWE,2016,,
225,,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,2019,,
123,,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,2018,2018,
21,,Invenio Software Inteligente Limitada,2011,,Bolsista
115,,IONICS SERVICES LTDA,2010,2010,ANALISTA PROGRAMADOR
258,,ISPRS International Journal of Geo-Information,2019,,
64,,iSys - Revista Brasileira de Sistemas de Informação,2018,,
54,,IT Factory Soluções Tecnológicas,2005,2010,Sócio proprietário
296,,Itau Unibanco,1997,2004,Programadora
296,,Itau Unibanco,2004,2008,Analista Sistemas
296,,Itau Unibanco,2008,2014,Analista Sistemas
89,,J u m p M e d ia,2014,2016,Consultor
376,,J ZHEJIANG U-SCI C,2013,,
212,,Jornal do Garcia,2012,2014,Desenvolvedor Web do Jornal
92,,Jornal Gazeta Ilha Norte,1999,2000,Programador
89,,Journal of Applied Computing Research,2014,,
376,,Journal of Biomedical Informatics,2013,2013,
376,,Journal of Computational Science,2016,,
376,,Journal of Computational Science,2016,2016,
190,,Journal of Computer Networks and Communications,2014,,
107,,Journal of Digital Imaging,2013,,
376,,Journal of Grid Computing,2013,2013,
321,,Journal of Hydrogeology  Hydrologic Engineering,2017,,
376,,Journal of Information and Data Management - JIDM,2013,,
64,,Journal of Information and Data Management - JIDM,2018,,
43,,Journal of Information and Data Management - JIDM,2014,,
50,,Journal of Information and Data Management - JIDM,2014,,
83,,Journal of Information and Data Management - JIDM,2015,,
123,,Journal of Information and Data Management - JIDM,2013,2013,
169,,Journal of King Saud University - Computer and Information Sciences,2019,2019,
190,,Journal of Network and Computer Applications,2016,,
40,,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,2018,,
376,,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,2018,,
376,,Journal of Supercomputing,2014,,
169,,JOURNAL OF SYSTEMS AND SOFTWARE,2019,2019,
119,,Journal of the Brazilian Computer Society,2008,2008,
376,,Journal of the Brazilian Computer Society (Impresso),2014,,
50,,Journal of the Brazilian Computer Society (Impresso),2011,,
83,,Journal of the Brazilian Computer Society (Impresso),2002,,
50,,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2019,,
83,,Journal of Universal Computer Science (Print),2010,2010,
209,,Junior Achievement,2007,2007,Gerente de Finanças
231,,Junior Achievement,2006,2006,Participante
428,,Júpiter Systems Thecnology,2015,2016,Consultor em Engenharia de Processos
376,,Laboratório Nacional de Computação Científica,2014,,Colaborador
83,,Lecture Notes in Computer Science,2001,,
54,,Lince Participações e Empreendimentos Ltda,1992,1995,Programador Jr.
81,,Lindenmeyer Advogados e Associados,2005,2005,estagiário
240,,Livid,2014,2015,Engenheiro de Software
307,,Lógica Informatica,2008,,Analista de Sistemas Pleno
292,,LogicCom,2004,2005,Analista Suporte
82,,Luminar Comércio e Industria Ltda,1999,2000,Auxiliar de CPD
292,,M4 Sistemas,2008,2010,Gerente de Projetos
369,,Marine Systems  Ocean Technology,2014,2014,
202,,Maxximo Fidelidade,2012,,Analista de Sistemas
27,,Mercador SA,2003,2005,Analista de Sistemas
19,,Mergen ,2004,2010,Pesquisador
189,,Micromar Indústria e Comércio Ltda,2011,2012,Estagiário em Programação
189,,Micromar Indústria e Comércio Ltda,2012,2013,Analista de Sistemas
394,,MicroWay Cursos e Treinamentos,2013,2013,Monitor
292,,MIDO JUPITER,2003,2004,Analista Sistemas
315,,Migrate Company,2012,2017,Analista de Sistemas e Desenvolvedor
155,,Minds At Work Sistemas e Projetos,2014,2014,Analista de Sistemas
155,,Minds At Work Sistemas e Projetos,2014,,Analista de Sistemas Pleno
107,,"Ministério da Ciência, Tecnologia e Inovação",2015,2015,
107,,"Ministério da Ciência, Tecnologia e Inovação",2015,,
278,,Ministério da Defesa,2010,2013,Oficial Técnico Temporário de Informática
278,,Ministério da Defesa,2010,2010,Oficial Técnico Temporário de Informática
321,,Ministério da Defesa,2014,2014,Não Há
419,,Ministério da Educação,2019,,Membro do Banco de Avaliadores do SINAES
321,,Ministério da Saúde,2014,2014,Parecerista ad hoc
321,,Ministério da Saúde / SUS,2014,2014,
89,,Mobile Information Systems,2016,,
107,,MOBILE NETWORKS AND APPLICATIONS,2020,,
104,,Módula Software Ltda.,2006,2007,Estagiário
258,,Multimedia Tools and Applications,2013,,
19,,Nacional Supermercados S/A,1998,1999,Auxiliar Técnico
242,,National Research Council of Italy,2015,2015,Pesquisador SEEK visitante
203,,Nec Plus Ultra Gestão  Tecnologia,2009,2011,Testadora de software
186,,Negócios de Informática,2005,2008,Consultor Técnico
312,,Nekto - Tecnologia em Gestão e Pessoas,2017,,Analista de Sistemas
64,,Neogrid S.A,2003,2005,Programador Júnior
202,,NEOMIND SOLUTIONS INFORMÁTICA LTDA,2010,2011,Programador JAVA
114,,Neoway Business Solutions,2010,,Administrador de Bancos de Dados
220,,NET PLUS INFORMATICA LTDA ME,2015,2016,Analista de Sistemas
376,,Netherlands Organisation for Scientific Research,2019,,
373,,Nexxera Tecnologia e Serviços S.A.,2002,2004,Administrador de Bancos de Dados
220,,Open Manager (L Alves de Jesus Malini),2016,2017,Analista de Sistemas
373,,OpenS Tecnologia e Processamento de Dados,2006,2006,Programador
244,,Oren Systems Ltda,2012,2012,Programador
139,,Organicom. Revista Brasileira de Comunicação Organizacional e Relações Públ,2004,,
165,,Organização das Voluntárias de Goiás,2005,2007,Analista de Sistemas
135,,Origammi,2015,,Desenvolvedor e Analista
27,,Partner Sistemas de Informação Ltda,2000,2001,Programador Pleno
376,,PeerJ,2019,,
252,,Petróleo Brasileiro - Rio de Janeiro - Matriz,2018,,Analista de Sistemas
419,,PIIC-URI,2012,2012,
419,,PIIC-URI,2013,2018,
373,,Poligraph Sistemas e Representações,2010,2014,Administrador de Bancos de Dados
428,,Politec Informática - Matriz,2003,2008,Gerente
83,138,Pontifícia Universidade Católica de Campinas,1997,1999,Professor convidado
428,139,Pontifícia Universidade Católica de Minas Gerais,2000,2001,Professor Assistente III
211,24,Pontifícia Universidade Católica do Paraná,2000,2001,
211,24,Pontifícia Universidade Católica do Paraná,2004,2006,Bolsista
91,26,Pontifícia Universidade Católica do Rio Grande do Sul,2006,2008,Bolsista
28,26,Pontifícia Universidade Católica do Rio Grande do Sul,1999,2001,Professor Auxiliar
53,26,Pontifícia Universidade Católica do Rio Grande do Sul,2001,2004,Estágio
53,26,Pontifícia Universidade Católica do Rio Grande do Sul,2005,2006,Pesquisa e Desenvolvimento
225,26,Pontifícia Universidade Católica do Rio Grande do Sul,2010,2012,Pesquisador
225,26,Pontifícia Universidade Católica do Rio Grande do Sul,2012,2014,Desenvolvedor de Sistemas
139,26,Pontifícia Universidade Católica do Rio Grande do Sul,1974,,
139,26,Pontifícia Universidade Católica do Rio Grande do Sul,2000,,
232,26,Pontifícia Universidade Católica do Rio Grande do Sul,2019,,Professor
81,26,Pontifícia Universidade Católica do Rio Grande do Sul,2006,,Bolsista
123,26,Pontifícia Universidade Católica do Rio Grande do Sul,2008,2008,Professor horista
225,26,Pontifícia Universidade Católica do Rio Grande do Sul - Uruguaiana,2006,2007,Estagiário
198,,Ponto a Ponto Informática LTDA,2009,2009,Estágiario
209,,Prefeitura Municipal de Alegrete,2010,2011,Técnico em Computação
130,,Prefeitura Municipal de Alto Alegre,2000,2000,Instrutor Curso de Informática - Contrato
130,,Prefeitura Municipal de Alto Alegre,2001,2003,Responsável Setor de Informática
130,,Prefeitura Municipal de Alto Alegre,2003,2008,Agente Administrativo - Setor de Informática
130,,Prefeitura Municipal de Alto Alegre,2009,,Coordenador Telecentro comunitário
369,,Prefeitura Municipal de Bagé,2013,2017,Informata de Nível Superior
321,,Prefeitura Municipal de Bento Gonçalves,1993,1993,Assessor Técnico
321,,Prefeitura Municipal de Bento Gonçalves,1999,2000,consultor técnico
175,,Prefeitura Municipal de Caxias do Sul,2014,,Analista de Sistemas
188,,Prefeitura Municipal de Colorado,2013,2016,Suporte e administração (TI)
435,,Prefeitura Municipal de Curitiba,2006,2006,Professor
82,,Prefeitura Municipal de Lauro Muller,1994,1994,Bolsista
129,,Prefeitura Municipal de Passo Fundo,2018,,
291,,Prefeitura Municipal de Santiago,2012,2013,Agente de Saúde
28,,Prefeitura Municipal de São Gabriel,2002,2003,Analista de Sistemas
231,,Prefeitura Municipal de Sobradinho,2008,2008,Professor de Informática
300,,Prevedello Sistemas,2007,2012,Analista de Sistemas
43,,Principia (João Pessoa),2016,,
68,,Probank Ltda,2000,2003,Digitador
21,,Procomp Industria Eletrônica,1999,2000,Técnico Eletrônico
115,,PROGENESE TECNOLOGIA LTDA,2008,2010,PROGRAMADOR
115,,PROGENESE TECNOLOGIA LTDA,2007,2008,PROGRAMADOR
189,,PROGIC Tecnologia Eletrônica,2015,2018,Analista de Sistemas
321,,Programa Alfa II - Rede Jean Mermoz,2005,2006,Bolsista
220,,Prosperi (DLN Consultoria e Informatica Ltda),2011,2013,Desenvolvedor de Sistemas
278,,Prumos Interativa,2008,2008,Operador de Computador
278,,Prumos Interativa,2009,2010,Programador de Computador
27,,PWPP,2003,2003,Programador
54,,Quality Informática,1998,1998,Instrutor de Informática
123,,RBCA: Revista de Brasileira de Computação Aplicada,2010,,
28,,REAd. Revista Eletrônica de Administração,2001,2012,
259,,Rede Nacional de Ensino e Pesquisa,2017,2017,Tutor de Experimentos do Testbed FIBRE
373,,Rede Nacional de Ensino e Pesquisa,2017,2017,Assistente (Desenvolvedor Júnior)
81,,Refinaria de Petróleo Ipiranga Isatec Informática,1998,1999,estagiário
119,,REIC. Revista Eletrônica de Iniciação Científica,2006,,
119,,REIC. Revista Eletrônica de Iniciação Científica,2004,,
123,,REIC. Revista Eletrônica de Iniciação Científica,2007,,
83,,REIC. Revista Eletrônica de Iniciação Científica (Online),2010,,
307,,REINKE  CIA LTDA,2005,2008,Técnico em Informática
253,,Relbt Soluções em Tecnologia da Informação e Comunicação LTDA,2014,2015,Sócio Diretor
83,,RESI : Revista Eletrônica de Sistemas de Informação,2007,,
83,,RESI. Revista Eletrônica de Sistemas de Informação,2007,2007,
376,,RETEC. Revista de Tecnologias (Ourinhos),2012,,
321,,Revista Biociências,2006,,Revisora
321,,Revista Biociências (Taubaté),2006,,
139,,Revista Brasileira de Ciências da Comunicação,2008,,
129,,Revista Brasileira de Computação Aplicada,2016,,
43,,Revista Brasileira de Computação Aplicada,2013,,
83,,Revista Brasileira de Computação Aplicada,2013,,
118,,Revista Brasileira de Computação Aplicada,2015,,
89,,Revista Brasileira de Informática na Educação,2015,,
64,,Revista Brasileira de Informática na Educação (RBIE),2019,,
89,,Revista Calidoscópio (1679-8740),2008,,
28,,Revista Científica da UninCor,2011,,
123,,Revista ComInG - Communications and Innovations Gazette,2015,,
89,,"Revista Competência, revista da Educação Superior do Senac-RS",2012,,
129,,Revista Conexões - Ciência e tecnologia,2014,,
118,,"Revista de Empreendedorismo, Inovação e Tecnologia",2015,,
119,,Revista de Informática Teórica e Aplicada,2007,,
107,,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA,2017,,
59,,Revista de Informática Teórica e Aplicada: RITA,2012,,
19,,Revista de Informática Teórica e Aplicada: RITA,2012,,
118,,Revista de Informática Teórica e Aplicada: RITA,2015,,
123,,Revista de Sistemas de Informação da Faculdade Salesiana Maria Auxiliadora,2009,,
419,,Revista de Sistemas de Informação da FSMA,2014,2014,
321,,Revista Desenvolvimento e Meio Ambiente,2013,,
28,,Revista do CCEI,2006,2012,
28,,Revista do CCEI,2004,2010,
369,,Revista do CCEI,2017,,
225,,Revista Eletrônica Argentina-Brasil de Tecn. da Inform. e da Com. (REABTIC),2016,,
419,,Revista Eletrônica Argentina-Brasil de TICs,2013,2017,
83,,Revista Eletrônica de Iniciação Científica,2010,,
321,,Revista Engenharia Sanitária e Ambiental,2004,,Revisor
28,,"Revista GEINTEC: gestao, inovacao e tecnologias",2014,,
107,,Revista IEEE América Latina,2015,,
139,,Revista Internacional de Relaciones Publicas,2011,,
20,,Revista iTEC,2010,2015,
229,,Revista Jr de Iniciação Científica em Ciências Exatas e Engenharia - ICCEE,2013,2015,
228,,Revista Jr de Iniciação Científica em Ciências Exatas e Engenharia - ICCEEg,2013,,
369,,Revista Junior de Iniciação Científica em Ciências Exatas e Engenharia,2015,,
89,,Revista Liberato (Novo Hamburgo),2015,,
321,,Revista Panamericana de Salud Pública,2003,,Revisora
321,,Revista Panamericana de Salud Pública / Pan American Journal of Public Heal,2006,2006,
20,,Revista Trajetória Multicursos,2016,,
200,,Saint George International College,2018,2018,Auxiliar administrativo
242,,SAMABSD LTDA ME,2011,2012,Estágio
321,,Scientia cum Industria,2014,,
321,,SCIENTIA CUM INDUSTRIA,2015,,
54,,Scriba Comunicações Ltda,1991,1992,Operador de micro
373,,Secretaria da Segurança Pública e Defesa do Cidadão de Santa Catarina,2018,2019,Pesquisador
89,,"Secretaria de Ciência, Inovação e Desenvolvimento Tecnológico",2013,,
150,,Secretaria de Estado da Administração,2015,2017,Gerente de Projetos
150,,Secretaria de Estado da Administração,2017,2019,Gerente de Tecnologia da Informação
107,,Secretaria de Saúde do Estado de Rondônia,2001,2002,Analista de Redes
321,,Secretaria Estadual do Meio Ambiente,2001,2002,Membro da câmara Técnica de Resíduos Sólidos
321,,Secretaria Estadual do Meio Ambiente (RS),2003,2003,sem vínculo
130,,Sell Soft Informática Ltda,1998,2000,Desenvolvedor
384,,SENAI - Departamento Regional de Tocantins,2007,2008,Instrutor Tecnologia da Informação
384,,SENAI - Departamento Regional de Tocantins,2003,2003,Professor Curso Técnico em Informática
61,,Serviço Nacional de Aprendizagem Comercial,1993,1994,Professor
225,,Serviço Nacional de Aprendizagem Comercial - RS,2016,2016,Professor temporario
326,,Serviço Nacional de Aprendizagem Comercial - RS,2017,2018,Professor
394,,Serviço Nacional de Aprendizagem Comercial - SC,2019,,Professor Informática
54,,Serviço Nacional de Aprendizagem Comercial Lages Sc,2000,2001,Professor
115,,SESC - Agência Regional de Santa Catarina,2011,2015,ANALISTA DE TI III
253,,Setup Junior Consultoria e Desenvolvimento,2012,2013,Diretor de Tecnologia da Informação
209,,SiDi,2019,,Desenvolvedor Pleno
123,,Sig Soluções Em Informática e Gestão,2004,2004,Analista de Sistemas
43,,SISTEMAS DE INFORMAÇÃO (MACAÉ),2019,,
321,,Sistemas de Proteção Ambiental,1992,1992,Consultora
315,,Sistemas de Rastreamento Infratrack,2012,2014,Desenvolvedor e Suporte
56,,Sociedade Brasileira de Computação - Porto Alegre,2009,,Representante Instituicional
119,,Sociedade Brasileira de Computação - Porto Alegre,1996,,Sócio Efetivo
119,,Sociedade Brasileira de Computação - Porto Alegre,2013,,Diretora Administrativa
40,,Sociedade Brasileira de Computação - Porto Alegre,2013,2015,Membro de comissão
321,,Sociedade Caritativa Literária São José Colégio São José,1989,1989,
321,,Sociedade Caxiense de Cultura,1990,1991,Professora
190,28,Sociedade Educacional de Santa Catarina,2008,2008,Temporário
91,,Sociedade Educacional do Rio Grande do Sul,2012,2013,Professor
321,,Sociedade Educacional Leonardo da Vinci,1988,1992,
28,29,Sociedade Educacional Três de Maio,2004,2004,
315,29,Sociedade Educacional Três de Maio,2014,2015,Professor de PHP
315,29,Sociedade Educacional Três de Maio,2017,,Estudante/Pesquisador
114,,Softplan Planejamento e Sistemas,2008,2010,Analista de Sistemas
126,,Softplan Planejamento e Sistemas,2008,,Administrador de banco de dados
168,,Softplan Planejamento e Sistemas,2009,,Analista e implementadora de sistemas
123,,Software and Systems Modeling,2017,2017,
435,,Software House,2004,2007,Programador / DBA
66,,Stefanini Consultoria e Assessoria em Informática,2009,2010,Administrador de Dados
78,,Stefanini Soluções em tecnologia da Informação S/A.,2007,,Desenvolvedor JAVA Documentum
92,,StudioD - Web e Mídia Digital,2001,2002,Analista de Sistemas
203,,Substractum Tecnologia,2012,2013,Desenvolvedora Java Web
213,,Suntech | Grupo Verint,2016,2017,Analista de Banco de Dados
373,,Suntech Sistemas,2004,2005,Administrador de Bancos de Dados
36,,T Engenheiros Associados,2007,2008,Engenheiro de Software
420,,Tbit Tecnologia e Sistemas,2010,,Desenvolvedor
92,,TCM Informatica,2000,,Analista de Sistemas
292,,TECHCODES,2011,2013,Diretor de tecnologia
28,,Technical Gazzette,2016,,
3,,TeleHUMANA Comunicações S.A.,2003,2004,Estagiária
376,,The Journal of Systems and Software,2013,,
107,30,The University of Western Ontario,2010,2011,Part-time Visiting Graduate Student
169,30,The University of Western Ontario,2016,2016,Teaching Assistant
209,,The Wedding Opera,2014,2014,Desenvolvedor
83,,Thiara Distribuidora,1989,1991,Analista / Programador
155,,TNO Tech,2010,2012,Analista de Sistemas Pleno
20,,Trajetória Multicursos,2017,,
20,,TreinaCentrics - Treinamento Corporativo,2003,2007,Instrutora
82,,Tribunal de Justica do Estado de Santa Catarina,2003,,Analista de Sistemas
253,,Tribunal Regional do Trabalho da 15ª Região,2015,,Técnico Judiciário
232,,Tribunal Regional do Trabalho da 4ª Região,2019,,Técnico Judiciário - Esp. Tec. Informação
315,,Tribunal Regional do Trabalho da 4ª Região (RS),2017,,Técnico Judiciário - Tecnologia da Informação
72,,Tribunal Regional do Trabalho da 4ª Região (RS),2014,,Analista Judiciário - TI
3,,Tribunal Regional Federal da 4ª Região,2004,,"Técnica Judiciária, Especialidade Informática"
292,,Trust Consultores,2010,2011,Gerente de Projetos
321,,Turku University of Aplied Science,2007,2007,Professor Visitante
321,,Turku University of Aplied Science,2011,2011,Professor Visitante
321,,Turku University of Aplied Science,2006,2007,Professor e pesquisador visitante
257,,Ubivis Licenciamento de Software,2017,2017,Estágio
257,,Ubivis Licenciamento de Software,2017,,Desenvolvedor
321,,Universidad Católica de Trujillo Benedito XVI,2018,,Professor Visitante
89,140,Universidad de Zaragoza,2014,2014,Pesquisador Visitante
135,141,Universidad Nacional de Misiones,2014,2017,Professor
229,31,Universidad Pública de Navarra,2015,2018,Bolsista de doutorado - CNPq
292,142,Universidade Católica de Angola,2003,2003,Professor
28,32,Universidade Católica de Pelotas,1993,1995,Monitor
28,32,Universidade Católica de Pelotas,1995,1995,Bolsista de Iniciação Científica
76,32,Universidade Católica de Pelotas,1998,2004,Auxiliar de Ensino
76,32,Universidade Católica de Pelotas,2006,2007,Bolsista CNPq
21,32,Universidade Católica de Pelotas,2000,2002,Estagiário
21,32,Universidade Católica de Pelotas,2002,2003,Voluntário
21,32,Universidade Católica de Pelotas,2004,2005,Iniciação Científica
140,143,Universidade Comunitária da Região de Chapecó,2008,2009,estagiário
140,143,Universidade Comunitária da Região de Chapecó,2010,2010,Programador de Sistemas II
268,143,Universidade Comunitária da Região de Chapecó,2019,2019,Tutoria de Cursos EAD
28,33,Universidade da Região da Campanha,1997,1999,Professor Horista
28,33,Universidade da Região da Campanha,2001,2006,Assistente
369,33,Universidade da Região da Campanha,2010,2011,Desenvolvedor de Software
369,33,Universidade da Região da Campanha,2016,2017,Desenvolvedor de Software Sênior
369,33,Universidade da Região da Campanha,2016,2017,Professor do Ensino Superior
91,34,Universidade de Brasília,2019,,Analista de TI
119,35,Universidade de Caxias do Sul,2001,2004,
119,35,Universidade de Caxias do Sul,1997,2001,Professor horista
419,35,Universidade de Caxias do Sul,2000,2001,PROFESSORA CONVIDADA
123,35,Universidade de Caxias do Sul,2005,2005,Professor horista
321,35,Universidade de Caxias do Sul,1990,2013,Professor Adjunto
321,35,Universidade de Caxias do Sul,1977,1978,Auxiliar de Escritório II- Padrão 4
321,35,Universidade de Caxias do Sul,1991,1992,Técnico de Laboratório
321,35,Universidade de Caxias do Sul,2010,,Diretora do Instituto de Saneamento Ambiental
321,35,Universidade de Caxias do Sul,2013,2016,Doutor Titular I
321,35,Universidade de Caxias do Sul,1986,1986,Membro do Conselho Universitário
321,35,Universidade de Caxias do Sul,2010,2018,RT Programa de gerenciamento Ambiental UCS
321,35,Universidade de Caxias do Sul,2010,2018,RT Gerenciamento de Resíduos Sólidos UCS
321,35,Universidade de Caxias do Sul,1998,2018,RT Gerenciamento de Resíduos Sólidos HG
321,35,Universidade de Caxias do Sul,2016,2017,RT Estudos hidrológicos - Seara
321,35,Universidade de Caxias do Sul,2016,2018,RT PGRS - Carvi
321,35,Universidade de Caxias do Sul,2016,2018,RT Plano Gerenc. Resíduos Sólidos / UCS
321,35,Universidade de Caxias do Sul,2016,2018,RT Licenciamento Ambiental UCS
321,35,Universidade de Caxias do Sul,2015,2018,RT PGRSS UCS
321,35,Universidade de Caxias do Sul,2015,2018,RT Licenciamento Camva
321,35,Universidade de Caxias do Sul,2016,2018,RT Licenciamento Carvi
321,35,Universidade de Caxias do Sul,2016,2017,RT Estudos resíduos Antônio Prado
321,35,Universidade de Caxias do Sul,2016,2018,RT Licenciamento HG
321,35,Universidade de Caxias do Sul,2015,2018,RT PGRSS HG
321,35,Universidade de Caxias do Sul,2016,2018,Responsável Técnico-Qualidade Rio São Marcos
321,35,Universidade de Caxias do Sul,2016,,Doutor Titular II
321,35,Universidade de Caxias do Sul,2011,2015,Núcleo Docente Estruturante-Engenharia Ambien
321,35,Universidade de Caxias do Sul,2000,2002,Membro do Colegiado-Curso Biologia - CARVI
321,35,Universidade de Caxias do Sul,2011,2012,Núcleo Docente Estruturante-Ciências/Biologia
321,35,Universidade de Caxias do Sul,2012,2016,Núcleo Docente Estruturante-Biológia Licenc.
321,35,Universidade de Caxias do Sul,2013,2016,Núcleo Docente Estruturante-Biologia Bacharel
321,35,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - Plano de Bacia/Vacaria
321,35,Universidade de Caxias do Sul,2017,2018,Responsável Técnico-Poços São Marcos
321,35,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - Laudos Juventude
321,35,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - CR Reversos/Farroupilha
321,35,Universidade de Caxias do Sul,2017,2018,Responsável Técnico-PS Antônio Prado
321,35,Universidade de Caxias do Sul,2020,,Membro do Conselho Editorial da EDUCS
130,36,Universidade de Cruz Alta,2008,2008,Professor do Curso de Ciência da Computação
307,36,Universidade de Cruz Alta,2015,2015,
118,37,Universidade de Passo Fundo,2005,2008,Pesquisador
300,37,Universidade de Passo Fundo,2016,2017,Aluno
19,39,Universidade de Santa Cruz do Sul,2005,2009,Professor
19,39,Universidade de Santa Cruz do Sul,1999,1999,Bolsista IC
85,39,Universidade de Santa Cruz do Sul,2007,2007,Estagiário
40,40,Universidade de São Paulo,2007,2007,Voluntário
40,40,Universidade de São Paulo,2008,2008,Bolsista
40,40,Universidade de São Paulo,2009,2009,Pesquisador
428,40,Universidade de São Paulo,2006,2010,Pesquisador do PCS/LAA
321,144,UNIVERSIDADE DE VASSOURAS,2006,,Parecerista Ad hoc
28,145,Universidade do Contestado Campus Canoinhas,2008,2008,Professor de Pós-Graduação
190,42,Universidade do Estado de Santa Catarina,2017,,Analista de suporte
190,42,Universidade do Estado de Santa Catarina,2018,2018,Tutor a distância
190,42,Universidade do Estado de Santa Catarina,2019,2019,Tutor a distância
190,42,Universidade do Estado de Santa Catarina,2019,,Coordenadora de Informática
28,42,Universidade do Estado de Santa Catarina,2008,2010,Professor Adjunto
64,42,Universidade do Estado de Santa Catarina,2007,2010,Professor Colaborador
64,42,Universidade do Estado de Santa Catarina,2014,2014,Professor Colaborador
64,42,Universidade do Estado de Santa Catarina,2014,,Professor Adjunto
54,42,Universidade do Estado de Santa Catarina,2009,2010,Professor substituto
202,42,Universidade do Estado de Santa Catarina,2005,2011,Acadêmico
202,42,Universidade do Estado de Santa Catarina,2008,2009,Webmaster
428,42,Universidade do Estado de Santa Catarina,2008,2010,Professor Adjunto I
422,42,Universidade do Estado de Santa Catarina,2004,,
28,146,Universidade do Minho,2016,,Pesquisador no Lab of Virtual Enterprises
244,147,Universidade do Oeste de Santa Catarina,2019,2020,Professor
244,147,Universidade do Oeste de Santa Catarina,2020,,Professor
268,147,Universidade do Oeste de Santa Catarina,2017,,Professor Parcial
54,,Universidade do Planalto Catarinense,1999,1999,Professor substituto
54,,Universidade do Planalto Catarinense,2000,2010,
373,147,Universidade do Sul de SC,2018,,Professor
63,43,Universidade do Vale do Itajaí,2000,,Bolsista
126,43,Universidade do Vale do Itajaí,2002,2003,Voluntário
126,43,Universidade do Vale do Itajaí,2006,2007,Administrador de Banco de Dados
