ID,,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2015,2017,Presidente da subseção Serra (Abes - RS)
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,,Membro da Câmara Temática de Resíduos Sólidos
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,,Representante da ABES junto a DIRSA/AIDIS
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,2017,Representante junto ao Comitê Taquari-Antas
258,,Associação Brasileira de Normas Técnicas - Sede,2019,,Membro de Comissão
321,,Associação Caxiense de Proteção Ao Ambiente Natural,1986,1986,Sócio Fundador
321,,Associação Caxiense de Proteção Ao Ambiente Natural,1986,1988,Segundo secretário
321,,Associación Interamericana de Ingenieria Sanitaria y Ambiental,2016,,Membro da División de Resíduos-DIRSA
206,,Atend Tecnologia,2013,2015,Técnico de Suporte
118,,Atua Sistemas de Informação,2006,2007,Estagiário no Desenvolvimento de Sistemas
118,,Atua Sistemas de Informação,2007,2009,Desenvolvedor de Sistemas
189,,Audaces Automação e Informática Industrial,2010,2011,Estagiário em Programação
129,,Autônomo,1996,2000,Autônomo
291,,Ávato,2018,,Programadora
244,,Avior Soluções em Logística e Monitoramento LTDA,2012,2013,Programador
211,,AVIS Consultorias e Treinamento,2010,2011,Bolsista
266,,AVMB Consultoria e Assessoria,2016,,Analista de Sistema
266,,AVMB Consultoria e Assessoria,2016,2016,Programador Java Júnior
435,,Aymará - Edições e Tecnologia,2010,2011,Colaborador
258,,Ayuntamiento de Torremolinos,2000,2000,Estágio
114,,Banco de Dados,2003,2005,Analista de Dados
54,,Banco do Brasil S A,1986,1990,Estagiário de Serviços Gerais
19,,Banco do Estado do Rio Grande do Sul S.A,2009,2011,Analista de Sistemas
198,,Banco do Estado do Rio Grande do Sul S.A.,2013,,Analista
292,,BANCO ITAÚ HOLDING FINANCEIRA SA,2002,2002,Analista de Suporte
213,,BDInfo LTDA,2010,2011,Programador SQL
82,,Betha Sistemas,1998,1998,Bolsista
377,,Bitavel,2001,2003,Analista/Desenvolvedor Web
376,,BMC Bioinformatics,2014,,
28,,Brazilian Journal of Science and Technology,2013,2016,
394,,BRF - Brasil Foods,2015,2016,Assistente de Suporte
394,,BRF - Brasil Foods,2016,2018,Assistente Administrativo
55,,Bruning Tecnometal,1999,,Analista de Sistemas
55,,Bruning Tecnometal,2013,,Supervisor TI Manutenção
55,,Bruning Tecnometal,2015,,Supervisor de TI
29,,BULL S.A.S.,2006,2006,Pesquisa e Desenvolvimento
244,,BVM Máquinas de Venda Automatica,2009,2010,Estagiário
83,,Cadernos de Ciência e Tecnologia (EMBRAPA),1996,2005,
231,,Caixa Econômica Federal,2007,2007,Estagiário
377,,Câmara de Dirigentes Lojistas (ES),2000,2001,Analista/Desenvolvedor Web
321,,Campanha Nacional de Escolas da Comunidade Setor Local da Cnec Nova Petrópo,1989,1990,
114,,Cellmidia,2005,2008,Administrador de Bancos de Dados
213,,Cellmidia Comunicação Precisa,2008,2010,Administrador de Banco de Dados
225,,Centre de Recherche INRIA Grenoble - Rhône-Alpes,2014,2015,Pesquisador
155,,Centro de Capacitação em Automação industrial da UFBA,2008,2009,Iniciação Científica
85,,Centro de Educação Profissional,2007,2008,Professor
309,79,Centro de Estudos e Sistemas Avançados do Recife,2018,,
169,79,Centro de Estudos e Sistemas Avançados do Recife,2013,2015,Engenheiro de Testes
82,80,Centro de Informática e Automação do Estado de Santa Catarina,2002,2003,Analista de Informática
189,80,Centro de Informática e Automação do Estado de Santa Catarina,2018,,Analista de Sistemas
242,80,Centro de Informática e Automação do Estado de Santa Catarina,2013,2014,Pesquisador e Desenvolvedor
417,81,Centro de Informática e Telecomunicações da Polícia Militar do Pará,2006,2008,Estagiário de Desenvolvimento de Softwares
219,82,Centro de Pesquisa e Desenvolvimento CPqD/Telebrás,2003,2003,Estagiário de Nível Médio
219,82,Centro de Pesquisa e Desenvolvimento CPqD/Telebrás,2004,2010,Técnico Programador
219,82,Centro de Pesquisa e Desenvolvimento CPqD/Telebrás,2010,,Analista de Sistemas
376,83,Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello,2003,2004,Bolsista de Pesquisa
58,84,Centro de Tecnologia da Informação Renato Archer,2001,2003,Bolsista de Iniciação Científica
19,85,Centro Educacional O Professor,2001,2002,Desenvolvedor
292,3,Centro Estadual de Educação Tecnológica Paula Souza,2010,2012,Professor Assistente
292,3,Centro Estadual de Educação Tecnológica Paula Souza,2013,,Professor Associado
292,3,Centro Estadual de Educação Tecnológica Paula Souza,2018,,Coordenador de curso
376,4,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2011,2013,Professor Temporário
252,4,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2014,2018,Técnico de Tecnologia da Informação
28,87,Centro Federal de Educação Tecnológica de São Vicente do Sul,2006,2008,Professor de I e II Graus
338,88,Centro Gestor e Operacional do Sistema de Proteção da Amazônia (RO),2018,2018,Estagiário de Informática
129,89,Centro Nacional de Pesquisa de Trigo - CNPT,2012,,
373,90,Centro Universitário Barriga Verde,2018,2018,Professor
20,91,Centro Universitário Cenecista de Osório,2017,,Coordenadora de curso de graduação
20,91,Centro Universitário Cenecista de Osório,2017,,Professor Adjunto Nível III - EAD
20,91,Centro Universitário Cenecista de Osório,2018,,Professor Adjunto Nível III
206,5,Centro Universitário de João Pessoa,2012,2012,Monitoria em Redes de Computadores I e II
206,5,Centro Universitário de João Pessoa,2012,2012,Monitoria em Banco de Dados I e II
66,6,Centro Universitário do Estado do Pará,2011,,Professor Horista
424,94,Centro Universitário do Norte Paulista,2012,,Professor
28,8,Centro Universitário Franciscano,2003,2006,Professor
28,8,Centro Universitário Franciscano,2010,2011,Professor Adjunto
48,8,Centro Universitário Franciscano,2003,2005,Monitoria e Tutoria
211,96,Centro Universitário Internacional,2009,2009,Professor Assistente
274,9,Centro Universitário Luterano de Ji-Paraná,2012,2015,Presidente do C.A. de Sstemas de Informação
123,98,Centro Universitário Luterano de Palmas - Universidade Luterana do Brasil,2001,2004,
43,99,Centro universitário Maurício de Nassau - Recife,2005,2005,Professor
376,100,Centro Universitário Plínio Leite,2011,2011,Professor Assistente
384,101,Centro Universitário Tocantinense Presidente Antônio Carlos,2002,2016,Professor de Ensino Superior
91,102,Centro Universitário Uninorte,2016,2018,Docente de Ensino Superior
89,,CIA DE PROCESSAMENTO DE DADOS DO ESTADO DO RIO GRANDE DO SUL,1994,1994,CONSULTOR
55,,CIPEX Idiomas,2001,,Instrutor
292,,CLARO TELECOM,2005,2008,Analista Sistemas
66,,Cobra Tecnologia,2010,2013,Analista de Operações - Sistemas
435,103,Colégio Estadual do Paraná,2007,2007,Professor
55,104,Colégio Evangélico Panambi,2012,,Professor
130,105,Colégio João Batista Rotta,2003,2004,Professor Curso Ténico em Informática
326,106,Colégio Politécnico da UFSM,2013,2014,Bolsa Monitoria
321,,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,1999,2010,Membro da comissão de Educação Ambiental
321,,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2002,2002,Representante dos Comitês de Bacias Hidrográf
321,,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2003,2014,Categoria população - Instituições de Ensino
321,,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2017,,Titular da Categoria IES
135,,Communications and Innovations Gazette,2016,2017,
83,,Companhia Aços Especiais Itabira,1991,1992,estagiário
27,,Companhia de Processamento de Dados da Prefeitura Municipal de Porto Alegre,2001,2002,Programador
27,,Companhia de Processamento de Dados da Prefeitura Municipal de Porto Alegre,2000,2000,Programador
259,,Companhia de Telecomunicações do Brasil Central,2015,2018,Analista de Telecomunicações
21,,Companhia Estadual de Geração e Transmissão de Energia Elétrica - Matriz,2003,2003,Estagiário
145,,Companhia Paranaense de Energia,2010,,Analista de Sistemas
258,,Companhia Paranaense de Energia,1999,1999,Estágio
355,,Compasso,2015,2016,Estagiário
200,,Compasso tecnologia ltda,2014,2017,Desenvolvedor de software
58,,Compera Tecnologia,2003,2006,Gerente de Produto
76,,Competência - Revista da Educação Superior do Senac-RS,2013,2013,
107,,COMPLEXITY,2017,,
376,,Computer Journal (Print),2014,,
107,,COMPUTERS &amp,2018,2018,
89,,Computers &amp,2017,,
107,,COMPUTERS IN BIOLOGY AND MEDICINE,2020,,
420,,Comunidade Sacramento de Amor,2008,2009,Web Designer
119,,Concept Assessoria e Desenvolvimento de Sistemas S C Ltda,1995,1996,Programador de Sistemas
212,,Conexão Assessoria Contábil,2015,2016,Configuração de servidores e acessos web.
203,,Confederação das Cooperativas Centrais de Crédito,2011,2012,Desenvolvedora Java Web
232,,Confederação SICREDI,2008,2010,Analista de Sistemas
232,,Confederação SICREDI,2018,2019,Cientista de Dados
158,,Conselho Estadual de Educação,2008,,Avaliador de Curso
321,,Conselho Estadual de Meio Ambiente,2002,2004,Participação no grupo de trabalho de resíduos
321,,Conselho Municipal de Defesa do Meio Ambiente de Bento Gonçalves,2011,2012,Suplente do Conselho
321,,Conselho Municipal de Defesa do Meio Ambiente-Caxias do Sul,2007,2012,Suplente
68,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2003,,Bolsista
376,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2016,,
89,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2014,2014,
89,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2015,2015,
