id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
1889,2015,,,,,,,Future Generation Computer Systems,1
1890,2013,,,,,,,Future Generation Computer Systems,1
1891,2017,,,,,,,Future Generation Computer Systems,1
1892,2020,,,,,,,Future Generation Computer Systems,1
1893,2017,,,,,,,Future Studies Research Journal - Future,1
1894,2020,,,,,,,FUZZY SETS AND SYSTEMS,1
1895,2008,,,,,,,Galpões de Reciclagem e a Universidade,3
1896,2012,,,,,,,"GEINTEC - Gestão, Inovação e Tecnologias",1
1897,2005,,,,,,,Genetics and Molecular Research,1
1898,2006,,,,,,,Genetics and Molecular Research,1
1899,2006,,,,,,,Genetics and Molecular Research,1
1900,2006,,,,,,,Genetics and Molecular Research,1
1901,2014,,,,,,,Geographical Information Systems: Trends and Technologies,3
1902,2014,,,,,,,GeoInfo,2
1903,2014,,,,,,,GeoInfo,2
1904,2003,,,,,,,GEOINFO,2
1905,2020,,,,,,,GEOINFORMATICA,1
1906,2017,,,,,,,"GEOProcessing 2017, The Ninth International Conference on Advanced Geographic Information Systems, Applications, and Services",2
1907,2019,,,,,,,"GEPROS.Gestão da Produção, Operações e Sistemas",1
1908,2001,,,,,,,Gerenciamento Ambiental,1
1909,2006,,,,,,,"Gerenciamento de resíduos sólidos urbanos com ênfase na proteção de corpos d'água: Prevenção, geração e tratamento de lixiviados de aterro sanitário",3
1910,2008,,,,,,,Gestão (Curitiba),1
1911,2009,,,,,,,Gestão (Curitiba),1
1912,2011,,,,,,,Gestão (Curitiba),1
1913,2008,,,,,,,Gestão (Curitiba),1
1914,2011,,,,,,,Gestão (Curitiba),1
1915,2011,,,,,,,Gestão (Curitiba),1
1916,2010,,,,,,,Gestão de Resíduos em Universidades,3
1917,2006,,,,,,,Gestão e Produção (UFSCar),1
1918,2018,,,,,,,Gestión Integral de Residuos Solidos Urbanos,3
1919,2004,,,,,,,GIS BRASIL 2004 - 10º Show Internacional de Geotecnologias,2
1920,2014,,,,,,,Grandes Desafios da Computação no Brasil,2
1921,2015,,,,,,,Grandes Desafios da Computação no Brasil - Relatos do 3o Seminário,3
1922,2015,,,,,,,Grandes Desafios da Computação no Brasil - Relatos do 3o Seminário,3
1923,2015,,,,,,,"Graph Transformation - 8th International Conference, ICGT 2015, Held as Part of STAF 2015, L'Aquila, Italy, July 21-23, 2015. Proceedings. LNCS 9151.",2
1924,2011,,,,,,,"HAICTA 2011 - Hllenic Association of Information and Communication Technology in Agriculture, Food and Environment",2
1925,2007,,,,,,,Handbook of Web Log Analysis,3
1926,2008,,,,,,,Handbook on Decision Support Systems 2,3
1927,2008,,,,,,,Hífen (PUCRS. Impresso),1
1928,2004,,,,,,,Hífen (PUCRS. Impresso),1
1929,2004,,,,,,,Hífen (Uruguaiana),1
1930,2005,,,,,,,Hífen (Uruguaiana),1
1931,2010,,,,,,,High Performance Computing for Computational Science - VECPAR 2010,2
1932,2008,,,,,,,História das Relações Públicas: fragmentos da memória de uma área,3
1933,2016,,,,,,,http://dx.doi.org/10.5902/2318133821338,1
1934,2016,,,,,,,http://www.abrapcorp.org.br/site/int.php?pagina=publicacoes-abrapcorp&amp;codigo=anais-do-x-congresso-abrapcorp-2016&amp;origem=geral,2
1935,2019,,,,,,,http://www.aidisnet.org/wp-content/uploads/2019/08/TRABAJOS-TECNICOS-8-DIRSA-2019.pdf,2
1936,2013,,,,,,,Human Factors in Design,1
1937,2012,,,,,,,Human Factors in Design,1
1938,2010,,,,,,,I CICPG,2
1939,2010,,,,,,,I CICPG,2
1940,2018,,,,,,,I Congresso da Tecnologia da Informação do IFSUL Passo Fundo,2
1941,2018,,,,,,,I Congresso da Tecnologia da Informação do IFSUL Passo Fundo,2
1942,1995,,,,,,,I Congresso de Educação Ambiental do Cone Sul - II Congresso Brasileiro de Educação Ambiental - V Congresso Estadual de Educação Ecológica (Programa e Resumo dos Trabalhos),2
1943,1995,,,,,,,I Congresso de Educação Ambiental do Cone Sul - II Congresso Brasileiro de Educação Ambiental - V Congresso Estadual de Educação Ecológica (Programa e Resumo dos Trabalhos),2
1944,2015,,,,,,,I Congresso Internacional de Métodos e Gestão em Avaliação Educacional (CIMGAE 2015),2
1945,2005,,,,,,,I Congresso Sul Catarinense de Computação,2
1946,2005,,,,,,,I Escola Regional de Banco de Dados (ERBD),2
1947,2010,,,,,,,"I Mostra de Pesquisa e Extensão do Instituto Federal de Educação, Ciência e Tecnologia Catarinense",2
1948,2002,,,,,,,I MPU - Mostra de Produção Universitária,2
1949,2009,,,,,,,I Portuguese and Multi-lingual Ontologies Workshop,2
1950,2011,,,,,,,I SABTIC Argentina-Brasil,2
1951,2008,,,,,,,I Seminário de Pesquisa em Ontologia no Brasil,2
1952,2008,,,,,,,I Seminário de pesquisa em ontologia no Brasil,2
