id,autor_id,artigo_id,ordem
467,305,180,3
468,300,181,1
469,106,181,2
470,306,182,1
471,54,182,2
472,50,182,3
473,307,183,1
474,308,183,2
475,309,184,1
476,310,184,2
477,311,184,3
478,312,185,1
479,313,185,2
480,23,185,3
481,314,186,1
482,303,186,2
483,315,187,1
484,316,187,2
485,317,187,3
486,318,187,4
487,300,188,1
488,106,188,2
489,319,189,1
490,320,189,2
491,321,190,1
492,322,190,2
493,52,190,3
494,323,190,4
495,324,190,5
496,325,190,6
497,326,191,1
498,327,191,2
499,328,191,3
500,329,192,1
501,50,192,2
502,330,193,1
503,331,193,2
504,332,194,1
505,333,194,2
506,334,194,3
507,335,194,4
508,336,194,5
509,337,194,6
510,338,195,1
511,339,195,2
512,340,195,3
513,274,195,4
514,341,196,1
515,258,196,2
516,342,196,3
517,343,196,4
518,344,196,5
519,345,197,1
520,346,197,2
521,347,197,3
522,348,198,1
523,349,198,2
524,350,198,3
525,351,199,1
526,258,199,2
527,352,199,3
528,353,199,4
529,354,199,5
530,355,200,1
531,356,200,2
532,357,200,3
533,358,200,4
536,359,202,1
537,258,202,2
538,360,202,3
539,361,202,4
540,258,203,2
541,362,203,3
542,363,204,1
543,19,204,2
544,364,205,1
545,128,205,2
546,365,206,1
547,366,206,2
548,19,206,4
549,367,207,1
550,368,207,2
551,304,207,3
552,369,208,1
553,370,208,2
554,371,208,3
555,372,208,4
556,373,209,1
557,374,209,2
558,372,210,1
559,369,210,2
560,370,210,3
561,371,210,4
562,375,211,1
563,19,211,2
564,376,212,1
565,106,212,2
566,118,212,3
567,377,213,1
568,378,213,2
569,258,213,3
570,352,213,4
571,379,214,1
572,122,214,2
573,380,215,1
574,381,215,2
575,382,215,3
576,23,215,4
577,54,216,1
578,244,216,2
579,383,216,3
580,50,216,4
583,384,218,1
584,385,218,2
585,386,219,1
586,387,219,2
587,388,219,3
588,389,219,4
589,390,220,1
590,244,220,2
591,54,220,3
592,50,220,4
593,391,221,1
594,244,221,2
595,392,221,3
596,393,221,4
597,111,221,5
598,394,222,1
599,395,222,2
600,396,222,3
601,397,222,4
602,398,222,5
603,399,223,1
604,141,223,2
605,400,224,1
606,311,224,2
607,258,225,1
608,354,225,2
609,54,226,1
610,244,226,2
611,401,226,3
612,50,226,4
613,304,227,1
614,402,228,1
615,403,228,2
616,404,228,3
617,405,228,4
618,406,228,5
619,407,228,6
620,408,229,1
621,395,229,2
622,409,229,3
623,410,229,4
624,411,230,1
625,395,230,2
626,412,230,3
627,413,231,1
628,354,231,2
629,258,231,3
630,414,232,1
631,322,232,2
632,52,232,3
633,415,232,4
634,416,232,5
635,417,233,1
636,418,233,2
637,419,234,1
638,201,234,2
639,420,236,1
640,421,236,2
641,422,237,1
642,423,237,2
643,424,238,1
644,425,238,2
645,426,238,3
646,422,239,1
647,427,239,2
648,428,240,1
649,429,240,2
650,430,240,3
651,431,240,4
652,432,240,5
653,433,240,6
654,434,241,1
655,54,241,2
656,435,242,1
657,436,242,2
658,216,242,3
659,437,242,4
660,438,242,5
661,128,242,6
662,439,243,1
663,440,243,2
664,441,243,3
665,442,243,4
666,443,243,5
667,128,243,6
668,128,150,7
670,444,90,4
671,445,90,5
672,446,203,1
673,447,206,3
674,89,269,
675,139,2213,
676,139,1572,
677,139,1571,
678,119,1103,
679,139,2209,
680,139,787,
681,139,2491,
682,139,1295,
683,107,3949,
684,259,3676,
685,139,1399,
