FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Estimativa do Potencial de Geração de Biomassa, Metano e Energia pelas principais criações pecuárias do Brasil",2015,Português,Revista AIDIS de Ingeniería y Ciencias Ambientales,SEM_DADOS,SEM_DADOS,"['PERESIN, D. and', 'BORTOLIN, T. A. and', 'TRENTIM, A. C. and', 'COCCONI, J. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1007/s12665-014-3823-3,"Morphometric evaluation of watersheds in Caxias do Sul City, Brazil, using SRTM (DEM) data and GIS",2014,Inglês,Environmental Earth Sciences (Print),SEM_DADOS,SEM_DADOS,"['VIECELI, NATHÁLIA and', 'BORTOLIN, TAISON ANDERSON and', 'MENDES, LUDMILSON ABRITTA and', 'BACARIM, GISELE and', 'CEMIN, Gisele and', 'Schneider, Vania Elisabete and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Ecoturismo: potencialidades e limitações ambientais do município de São José dos Ausentes, RS",2015,Português,Rosa dos Ventos,SEM_DADOS,SEM_DADOS,"['CASAGRANDE, V. and', 'Schneider, Vania Elisabete and', 'CEMIN, Gisele and', 'BORTOLIN, TAISON ANDERSON and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.5902/2179460X18168,SPATIAL AND TEMPORAL ASSESSMENT OF WATER QUALITY DATA USING MULTIVARIATE STATISTICAL TECHNIQUES,2016,Português,Ciência e Natura,SEM_DADOS,SEM_DADOS,"['FINKLER, N. R. and', 'MENDES, L. A. and', 'COCCONI, J. and', 'Bortolin, T. A. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v3iss2p42,Comparação de funções de distribuição de probabilidades na determinação de vazão mínima anual e sazonal,2015,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['FINKLER, N. R. and', 'MENDES, L. A. and', 'SCHNEIDER, E. H. M. and', 'Bortolin, T. A. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.4136/ambi-agua.1468,Qualidade da água superficial por meio de análise do componente principal,2015,Português,Revista Ambiente &amp; Água,SEM_DADOS,SEM_DADOS,"['FINKLER, N. R. and', 'PERESIN, D. and', 'COCCONI, J. and', 'Taison A. Bortolin and', 'RECH, A. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v3iss2p55,Pegada Hídrica Cinza dos Suínos Abatidos no Corede Serra/RS - Brasil,2015,Português,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['HELENA ZANELLA CARRA, SOFIA and', 'ELISABETE SCHNEIDER, VANIA and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.6008/SPC2179-6858.2016.001.0022,Comparison between the municipal solid waste management of two municipalities from mountain region,2016,Inglês,Revista Ibero-americana de Ciências Ambientais,SEM_DADOS,SEM_DADOS,"['PERESIN, D. and', 'FINKLER, N. R. and', 'GRANDO, M. R. and', 'CASAGRANDE, V. and', 'Tonet, E. M. and', 'Schneider, Vania Elisabete and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.4136/ambi-agua.1688,"Pegada hídrica dos suínos abatidos na região do Corede Serra, RS, Brasil",2016,Português,Revista Ambiente e Agua,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. and', 'Carra. S. H. Z. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v3iss1p1,Potential for attenuation of a stream in a subtropical region - Rio Grande do Sul - Brazil,2015,Inglês,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['PERESIN, D. and', 'VIECELI, N. C. and', 'BORTOLIN, T. A. and', 'BAVARESCO, G. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v4iss1p1,Análise da Influência do Uso e Ocupação do Solo na Qualidade da Água de Duas Sub-Bacias Hidrográficas do Município de Caxias do Sul,2016,Português,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['CORNELLI, Renata and', 'ELISABETE SCHNEIDER, VANIA and', 'ANDERSON BORTOLIN, TAISON and', 'CEMIN, Gisele and', 'MACEDO DOS SANTOS, GEISE and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.4090/juee.2016.v10n1.050056,URBAN SOLID WASTE MANAGEMENT IN CAXIAS DO SUL/BRAZIL: PRACTICES AND CHALLENGES,2016,Inglês,Journal of Urban and Environmental Engineering (UFPB),SEM_DADOS,SEM_DADOS,"['POLETTO, Matheus and', 'MORI, Paulo Rogério de and', 'SCHNEIDER, V. E. and', 'ZATTERA, A. J. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.14295/ras.v30i1.28585,Relação entre Padrões Hidroquímicos e as Profundidades das Entradas de Água de Aquíferos Fraturados Associados às Rochas Vulcânicas Ácidas da Formação Serra Geral,2016,Português,Águas Subterrâneas,SEM_DADOS,SEM_DADOS,"['Taison A. Bortolin and', 'REGINATTO, Pedro Antônio Roehe and', 'Leão, M. I. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1590/s1413-41522017142636,Avaliação da geração de resíduos de equipamentos eletroeletrônicos (REEEs) em uma universidade particular,2017,Português,Engenharia Sanitaria e Ambiental,SEM_DADOS,SEM_DADOS,"['Panizzon, T. and', 'REICHERT, Geraldo Antônio and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Capacitação em recursos hídricos por meio de oficinas temáticas e AVA: proposta metodológica,2016,Português,Revista EDaPECI: Educação a Distância e Práticas Educativas Comunicacionais e Interculturais,SEM_DADOS,SEM_DADOS,"['BACARIM, G. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'SAUER, L. T. Z. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Cluster formation of potencial assessment for swine manute treatment and biogas generation in an experimental watershed in Rio Grande do Sul, Brazil",2016,Inglês,WIT Transactions on Ecology and the Environment,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'ZANONI, N. and', 'CARRA, S. H. Z. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1590/1413-812320182311.19352016,A Aplicação do Modelo FPSSEA no Gerenciamento de Resíduos de Serviço de Saúde,2018,Português,Ciência &amp; Saúde Coletiva,SEM_DADOS,SEM_DADOS,"['STEDILE, N. L. R. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.21577/0100-4042.20160180,DETERMINAÇÃO DE AGROTÓXICOS NA ÁGUA E SEDIMENTOS POR HPLC-HRMS E SUA RELAÇÃO COM O USO E OCUPAÇÃO DO SOLO,2016,Português,Química Nova (Online),SEM_DADOS,SEM_DADOS,"['Chierello, M. and', 'GRAEF, R. E. N. and', 'MINETO, L and', 'CEMIN, G. and', 'SCHNEIDER, V. E. and', 'SILVA, S. M. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1007/s10661-016-5635-2,"Monitoring and assessment of surface water quality in Taquari-Antas Watershed, South Brazil: region with intensive pig farming",2016,Português,Environmental Monitoring and Assessment (Dordrecht. Online),SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. and', 'MARQUES, R. V. and', 'BORTOLIN, T. A. and', 'CEMIN, G. and', 'SANTOS, G. M. and']"
