FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Empresas Multinacionais na Espanha: um olhar intercultural,2015,Português,Revista Internacional de Relaciones Publicas,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'AMORIN, Lidiane Ramirez de and', 'SOUZA, R. C. A. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Diálogo e vínculo ? contribuições para a lugarização de perspectivas complexas nas organizações,2016,Português,Revista FAMECOS (Online),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'AMORIN, Lidiane Ramirez de and', 'OLIVEIRA, R. F. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Por uma topofilia da comunicação organizacional: reflexões sobre espaço e lugar da comunicação,2016,Português,Revista Latinoamericana de Ciencias de la Comunicación,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'AMORIN, Lidiane Ramirez de and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,De la prespective informationnelle aux (im)possibités relationnelles de la communication dans le contexte des organization,2017,Francês,Communication et organization,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'OLIVEIRA, R. F. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Comunicação estratégica: (im) precisões conceituais e dimensões possíveis no contexto das organizações,2018,Português,Revista Media&amp;Jornalimso,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'OLIVEIRA, R. F. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Relaciones públicas y disidencia: aproximaciones necessárias,2018,Português,Communication Papers,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'FALAVIGNA, F. and', 'GOMES, L. B. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,O discurso da felicidade no contexto das organizações: considerações introdutórias,2019,Português,NOVOS OLHARES,SEM_DADOS,SEM_DADOS,"['GOMES, L. B. and', 'SCROFERNEKER, Cleusa Maria Andrade and', 'FALAVIGNA, F. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,A provocação do afeto como estratégia discursiva organizacional,2019,Português,COMMUNICARE (SÃO PAULO),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'GOMES, L. B. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,A comunicação pública e as agências reguladoras brasileiras,2019,Português,Revista de Comunicação e Linguagens,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'CIDADE, D. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,COMUNICAÇÃO E MEMÓRIA ORGANIZACIONAL: PARA ALÉM DA PRODUÇÃO DE NARRATIVAS REPRESENTACIONAIS,2019,Português,REVISTA LATINOAMERICANA DE CIENCIAS DE LA COMUNICACIÓN,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'SOUZA, R. C. A. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Docência em Relações Públicas: fragmentos de uma reflexão inacabada,2017,Português,REVISTA INTERNACIONAL DE RELACIONES PUBLICAS,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'VITÓRIA, Maria Inês Côrte and']"
