ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
790769833478481,Universidade Tecnológica Federal do Paraná,2013,2014,Estudante de Iniciação Científica,
790769833478481,Ubivis Licenciamento de Software,2017,2017,Estágio,
790769833478481,Ubivis Licenciamento de Software,2017,,Desenvolvedor,
6854430172424635,Universidade Tecnológica Federal do Paraná,2017,,Iniciação Científica,
412793120877584,Universidade Federal de Santa Maria,2016,2017,Bolsista de Iniciação Científica,
9856398577674610,Centro Gestor e Operacional do Sistema de Proteção da Amazônia (RO),2018,2018,Estagiário de Informática,
1560771253913044,Universidade Federal do Rio Grande,2010,2010,Diagramador,
1560771253913044,Universidade Federal do Rio Grande,2010,2011,Desenvolvedor,
1560771253913044,Compasso tecnologia ltda,2014,2017,Desenvolvedor de software,
1560771253913044,Saint George International College,2018,2018,Auxiliar administrativo,
1560771253913044,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2020,,Professor de informática,
9311546811322090,Prefeitura Municipal de Alto Alegre,2000,2000,Instrutor Curso de Informática - Contrato,
9311546811322090,Prefeitura Municipal de Alto Alegre,2001,2003,Responsável Setor de Informática,
9311546811322090,Prefeitura Municipal de Alto Alegre,2003,2008,Agente Administrativo - Setor de Informática,
9311546811322090,Prefeitura Municipal de Alto Alegre,2009,,Coordenador Telecentro comunitário,
9311546811322090,Colégio João Batista Rotta,2003,2004,Professor Curso Ténico em Informática,
9311546811322090,Sell Soft Informática Ltda,1998,2000,Desenvolvedor,
9311546811322090,Universidade de Cruz Alta,2008,2008,Professor do Curso de Ciência da Computação,
9311546811322090,Instituto Nacional de Pesquisas Espaciais,2008,2008,Bolsista CNPQ,
9311546811322090,Faculdade Meridional - IMED,2011,2011,Docencia Ensino Superior,
9311546811322090,Governo do Estado do Rio Grande do Sul,2011,,Professor,
966387234393823,Universidade Federal de Pelotas,2002,2005,Estagiária,
966387234393823,Universidade Federal de Pelotas,2005,2005,,
966387234393823,Universidade Federal de Pelotas,2005,2006,Corpo Tecnico,
966387234393823,Eletromeces Equipamentos Telefônicos Ltda,2000,2000,Estagiário,
966387234393823,Hewlett-Packard,2006,2007,Bolsista,
966387234393823,Pontifícia Universidade Católica do Rio Grande do Sul,2006,2008,Bolsista,
966387234393823,1ºCentro de Telamática de Área,2007,2011,Oficial da Área de Informática,
966387234393823,Universidade Federal do Pampa,2011,2012,Analista de TI,
966387234393823,Universidade Federal do Rio Grande do Sul,2012,2016,Analista de TI,
966387234393823,Sociedade Educacional do Rio Grande do Sul,2012,2013,Professor,
966387234393823,Universidade Federal do Acre,2016,2019,Analista de TI,
966387234393823,Universidade de Brasília,2019,,Analista de TI,
966387234393823,Centro Universitário Uninorte,2016,2018,Docente de Ensino Superior,
5878372087019892,Fundação Educacional Hansa Hamonia,2000,2000,Professor substituto,
5878372087019892,Universidade do Planalto Catarinense,1999,1999,Professor substituto,
5878372087019892,Universidade do Planalto Catarinense,2000,2010,,
5878372087019892,Banco do Brasil S A,1986,1990,Estagiário de Serviços Gerais,
5878372087019892,Scriba Comunicações Ltda,1991,1992,Operador de micro,
5878372087019892,Lince Participações e Empreendimentos Ltda,1992,1995,Programador Jr.,
5878372087019892,Florinfo Comércio e Serviços Ltda,1999,1999,Gerente,
5878372087019892,Visual Systems Informática Ltda,1995,1998,Analista de Sistemas,
5878372087019892,Quality Informática,1998,1998,Instrutor de Informática,
5878372087019892,Serviço Nacional de Aprendizagem Comercial Lages Sc,2000,2001,Professor,
5878372087019892,Universidade do Estado de Santa Catarina,2009,2010,Professor substituto,
5878372087019892,IT Factory Soluções Tecnológicas,2005,2010,Sócio proprietário,
5878372087019892,Instituto Federal Catarinense - Campus Camboriú,2010,,Professor EBTT,
5847865533404279,Universidade Federal de Viçosa,2013,2014,Monitor de Álgebra Linear,
5847865533404279,Universidade Federal de Viçosa,2013,2014,Tutor de Geometria Analítica e Álgebra Linear,
5847865533404279,Universidade Federal de Viçosa,2013,2014,Monitor de Geometria Analítica e Álgebra,
5847865533404279,Universidade Federal de Viçosa,2020,,Professor do Magistério Superior,
5847865533404279,Empresa Junior do Curso de Sistema de Informação,2013,2013,Assessor de Qualidade,
5847865533404279,Diretoria de Ensino - Universidade Federal de Viçosa campus Rio Paranaíba,2013,2014,Estágio Profissional,
5847865533404279,Companhia de Telecomunicações do Brasil Central,2015,2018,Analista de Telecomunicações,
5847865533404279,Universidade Federal de Uberlândia,2015,,Pesquisador,
5847865533404279,Rede Nacional de Ensino e Pesquisa,2017,2017,Tutor de Experimentos do Testbed FIBRE,
1394224092286,Universidade Católica de Angola,2003,2003,Professor,
1394224092286,Centro Estadual de Educação Tecnológica Paula Souza,2010,2012,Professor Assistente,
1394224092286,Centro Estadual de Educação Tecnológica Paula Souza,2013,,Professor Associado,
1394224092286,Centro Estadual de Educação Tecnológica Paula Souza,2018,,Coordenador de curso,
1394224092286,Editora Abril,2000,2001,Analista Sistemas,
1394224092286,BANCO ITAÚ HOLDING FINANCEIRA SA,2002,2002,Analista de Suporte,
1394224092286,MIDO JUPITER,2003,2004,Analista Sistemas,
1394224092286,LogicCom,2004,2005,Analista Suporte,
1394224092286,CLARO TELECOM,2005,2008,Analista Sistemas,
1394224092286,M4 Sistemas,2008,2010,Gerente de Projetos,
1394224092286,Trust Consultores,2010,2011,Gerente de Projetos,
1394224092286,Exanthus Consultoria,2004,2013,Sócio,
1394224092286,TECHCODES,2011,2013,Diretor de tecnologia,
383620524866410,Instituto de Pesquisas Eldorado - Brasília,2010,,Analista de Software Pleno,
721839644753258,Universidade Federal de Santa Maria,1995,,Analista de TI,
721839644753258,Serviço Nacional de Aprendizagem Comercial,1993,1994,Professor,
721839644753258,Universidade Luterana do Brasil,2005,,Professor Assistente,
6771642666904396,Instituto Municipal de Ensino Superior de Assis,2010,2018,Coordenador de Curso,
6771642666904396,Instituto Municipal de Ensino Superior de Assis,1996,,Professor de Ensino Superior,
6771642666904396,Instituto Municipal de Ensino Superior de Assis,2004,2009,Coordenador Centro Pesquisas em Informática,
6771642666904396,Instituto Municipal de Ensino Superior de Assis,2018,,Vice-Diretor Acadêmico,
